gauge_id,pilot_split,original_split,camelsh_huc02,state,gauge_name,drain_sqkm_attr,obs_years_usable,first_obs_year_usable,last_obs_year_usable,actual_valid_target_count,sampling_seed,stratum_source_count,stratum_selected_count,area,slope,aridity,snow_fraction,soil_depth,permeability,forest_fraction,baseflow_index
01046500,train,train,01,ME,"Kennebec River at Bingham, Maine",7056.902,30,1991,2024,94751,20262019,112,35,7056.902,8.30638,0.962815926966819,0.235907035248981,47.15192,2.796313,0.6582956,46.38742
01068910,train,train,01,ME,"Mousam River at Route 4 near Sanford, Maine",117.3636,15,2009,2024,23493,20262019,112,35,117.3636,4.522861,1.00989135147409,0.0975005695003832,56.22029,10.05357,0.6489372,55.13145
01069700,train,train,01,ME,"Branch Brook near Kennebunk, Maine",27.9072,11,2009,2023,13941,20262019,112,35,27.9072,1.79633,0.872920010599424,0.0646601100918551,59.14592,14.1455,0.59936141,51.88919
01073785,train,train,01,NH,"WINNICUT RIVER AT GREENLAND, NR PORTSMOUTH, NH",36.9495,18,2004,2024,57451,20262019,112,35,36.9495,1.731655,0.875224514345993,0.0570822595684332,56.40703,8.075757,0.3742297,49.21099
01076500,train,train,01,NH,"PEMIGEWASSET RIVER AT PLYMOUTH, NH",1608.937,12,1996,2024,69907,20262019,112,35,1608.937,19.36739,0.914679872363436,0.203765620064771,47.77667,5.595224,0.9225114,49.04494
01078000,train,train,01,NH,"SMITH RIVER NEAR BRISTOL, NH",222.4566,29,1996,2024,86592,20262019,112,35,222.4566,11.38543,1.04483592429239,0.162336083033108,53.50959,5.909197,0.8718635,53.72592
01085500,train,train,01,NH,"CONTOOCOOK R BL HOPKINTON DAM AT W HOPKINTON, NH",1099.139,22,2002,2024,76262,20262019,112,35,1099.139,8.150191,1.01524483300874,0.14544119452781,53.47072,4.652449,0.7803779,46.0541
01092000,train,train,01,NH,"MERRIMACK R NR GOFFS FALLS, BELOW MANCHESTER, NH",7987.65,31,1992,2024,92992,20262019,112,35,7987.65,10.33687,1.0203089483371,0.152199140615836,51.65795,5.602665,0.7804753,52.94616
01096500,train,train,01,MA,"NASHUA RIVER AT EAST PEPPERELL, MA",1125.681,34,1991,2024,94679,20262019,112,35,1125.681,5.293751,1.07146703962144,0.0964184432062904,53.60726,5.242598,0.5949524900000001,51.61567
01100000,train,train,01,MA,"MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA",11983.35,33,1991,2024,91459,20262019,112,35,11983.35,8.445534,1.04511287800626,0.134980821981951,51.94601,5.918044,0.6973457999999999,52.59652
01100561,train,train,01,MA,"SPICKET RIVER NEAR METHUEN, MA",158.2974,17,2006,2024,44680,20262019,112,35,158.2974,3.687954,1.13469704641782,0.0955621909640509,52.58309,5.731715,0.47960046,51.30862
