gauge_id,gauge_name,state,camelsh_huc02,lat_gage,lng_gage,drain_sqkm_attr,outlet_in_drbc,basin_intersects_drbc,basin_within_drbc,basin_area_sqkm_geom,overlap_area_sqkm,overlap_ratio_of_basin,selected,selection_reason,forcing_archive,forcing_member,hourly2_member,train_valid_target_count,train_expected_hours,train_coverage_fraction,validation_valid_target_count,validation_expected_hours,validation_coverage_fraction,test_valid_target_count,test_expected_hours,test_coverage_fraction,area,slope,aridity,snow_fraction,soil_depth,permeability,baseflow_index,forest_fraction,FLOW_PCT_EST_VALUES,BASIN_BOUNDARY_CONFIDENCE,outside_drbc_trainable,passes_streamflow_quality_gate,train_period_eligible,validation_period_eligible,drbc_test_period_eligible
01414000,PLATTE KILL AT DUNRAVEN NY,NY,02,42.1331434,-74.6954342,90.4221,True,True,True,91.186,91.186,1.0,True,outlet_in_drbc_and_overlap_gte_0.90,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01414000.nc,Hourly2/01414000_hourly.nc,80577,96432,0.8355836236933798,23013,26304,0.8748859489051095,23076,26304,0.8772810218978102,90.4221,20.44383,1.08335597515583,0.14767906801139,41.29515,1.180478,43.18013,0.8291911500000001,6.06,10,False,True,False,False,True
01414500,MILL BROOK NEAR DUNRAVEN NY,NY,02,42.10619915,-74.7304349,64.4517,True,True,True,65.002,65.002,1.0,True,outlet_in_drbc_and_overlap_gte_0.90,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01414500.nc,Hourly2/01414500_hourly.nc,82222,96432,0.8526422764227642,22654,26304,0.8612378345498783,21939,26304,0.8340556569343066,64.4517,22.62283,0.973699434797411,0.176108587558549,32.27789,1.227331,46.05754,0.93185597,5.38,10,False,True,False,False,True
01415000,TREMPER KILL NEAR ANDES NY,NY,02,42.1200874,-74.81849264,85.6287,True,True,True,86.342,86.342,1.0,True,outlet_in_drbc_and_overlap_gte_0.90,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01415000.nc,Hourly2/01415000_hourly.nc,79024,96432,0.8194790111166418,23777,26304,0.9039309610705596,22571,26304,0.8580824209245742,85.6287,18.33937,1.04143433685485,0.154623317457268,42.44758,1.226223,43.97008,0.77843875,5.87,10,False,True,False,False,True
01415460,TERRY CLOVE KILL NEAR DE LANCEY NY,NY,02,42.147111,-74.905222,20.529,True,True,True,20.697,20.697,1.0,True,outlet_in_drbc_and_overlap_gte_0.90,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01415460.nc,Hourly2/01415460_hourly.nc,6623,96432,0.06868052098888336,0,26304,0.0,0,26304,0.0,20.529,18.47353,1.04143433685485,0.154623317457268,38.7,1.0945,43.91201,0.7625164560000001,17.37,10,False,False,False,False,False
01419500,WILLOWEMOC CREEK NR LIVINGSTON MANOR NY,NY,02,41.90342231,-74.81266077,162.2061,True,True,True,163.589,163.589,1.0,True,outlet_in_drbc_and_overlap_gte_0.90,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01419500.nc,Hourly2/01419500_hourly.nc,0,96432,0.0,0,26304,0.0,0,26304,0.0,162.2061,12.04397,0.987864384897164,0.146223954978874,50.53145,1.607638,47.80507,0.8925200700000001,0.0,10,False,True,False,False,False
01420500,BEAVER KILL AT COOKS FALLS NY,NY,02,41.94647708,-74.97960864,627.0471,True,True,True,632.337,632.337,1.0,True,outlet_in_drbc_and_overlap_gte_0.90,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01420500.nc,Hourly2/01420500_hourly.nc,84511,96432,0.8763792102206737,24142,26304,0.9178071776155717,21929,26304,0.8336754866180048,627.0471,15.03294,1.01113272630474,0.140450050240349,43.90273,1.444157,46.45736,0.8876348000000001,3.08,10,False,True,False,False,True
01422389,COULTER BROOK NEAR BOVINA CENTER NY,NY,02,42.2387,-74.73599,3.2004,True,True,True,3.227,3.227,1.0,True,outlet_in_drbc_and_overlap_gte_0.90,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01422389.nc,Hourly2/01422389_hourly.nc,74756,96432,0.7752198440351751,0,26304,0.0,0,26304,0.0,3.2004,23.12264,1.08335597515583,0.14767906801139,38.7,1.0945,42.01181,0.99353199,8.34304357958518,5,False,False,False,False,False
01422500,LITTLE DELAWARE RIVER NEAR DELHI NY,NY,02,42.25230752,-74.9015501,128.9304,True,True,True,130.004,130.004,1.0,True,outlet_in_drbc_and_overlap_gte_0.90,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01422500.nc,Hourly2/01422500_hourly.nc,80795,96432,0.8378442840550855,23369,26304,0.8884200121654501,22888,26304,0.8701338199513382,128.9304,16.75748,1.07067323727054,0.166638431740207,42.72277,1.142605,42.80514,0.74849215,4.7,10,False,True,False,False,True
01422738,WOLF CREEK AT MUNDALE NY,NY,02,42.259529,-75.041832,1.6659,True,True,True,1.679,1.679,1.0,True,outlet_in_drbc_and_overlap_gte_0.90,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01422738.nc,Hourly2/01422738_hourly.nc,72097,96432,0.7476460096233616,0,26304,0.0,0,26304,0.0,1.6659,9.193939,1.01656237230643,0.163232258914039,56.4,1.2545,43.0,0.66234461,12.3,7,False,True,False,False,False
01422747,EAST BROOK EAST OF WALTON NY,NY,02,42.172863,-75.121279,63.9018,True,True,True,64.412,64.412,1.0,True,outlet_in_drbc_and_overlap_gte_0.90,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01422747.nc,Hourly2/01422747_hourly.nc,24366,96432,0.25267546042807365,22344,26304,0.8494525547445255,0,26304,0.0,63.9018,14.32646,0.985819779139484,0.153545429420889,49.10885,1.260943,42.62799,0.63044699,14.41,10,False,True,False,False,False
