split,gauge_id,gauge_name,state,camelsh_huc02,lat_gage,lng_gage,area,forcing_archive,forcing_member,hourly2_member,train_valid_target_count,train_expected_hours,train_coverage_fraction,validation_valid_target_count,validation_expected_hours,validation_coverage_fraction,test_valid_target_count,test_expected_hours,test_coverage_fraction,FLOW_PCT_EST_VALUES,BASIN_BOUNDARY_CONFIDENCE,sampling_seed,stratum_source_count,stratum_selected_count,slope,aridity,snow_fraction,soil_depth,permeability,forest_fraction,baseflow_index
train,01054000,"Androscoggin River near Gorham, NH",NH,01,44.43579167,-71.19017778,3527.626,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01054000.nc,Hourly2/01054000_hourly.nc,89107,96432,0.9240397378463581,22653,26304,0.8611998175182481,21554,26304,0.819419099756691,0.57,10,20261520.0,136.0,13.0,11.19907,0.934695648583789,0.230500149989795,49.58461,2.975124,0.7984644,47.56914
train,01054500,"Androscoggin River at Rumford, Maine",ME,01,44.55181389,-70.54406667,5349.329,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01054500.nc,Hourly2/01054500_hourly.nc,95700,96432,0.9924091587854654,26303,26304,0.9999619829683698,26211,26304,0.9964644160583942,0.21,10,20261520.0,136.0,13.0,13.42021,0.920100648043808,0.228509713775058,50.37807,3.635653,0.8232205,47.59273
train,01072800,"COCHECO RIVER NEAR ROCHESTER, NH.",NH,01,43.268415,-70.973674,243.9549,timeseries,Data/CAMELSH/timeseries/01072800.nc,Hourly2/01072800_hourly.nc,81362,96432,0.843724074995852,23859,26304,0.9070483576642335,22491,26304,0.8550410583941606,14.3,7,20261520.0,136.0,13.0,4.917732,1.00861170287574,0.118622485743953,52.0069,5.412101,0.6717270000000001,53.27757
train,01073587,"EXETER RIVER AT HAIGH ROAD, NEAR BRENTWOOD, NH",NH,01,42.984532,-71.038392,163.053,timeseries,Data/CAMELSH/timeseries/01073587.nc,Hourly2/01073587_hourly.nc,80122,96432,0.8308652729384437,23856,26304,0.906934306569343,22413,26304,0.8520757299270073,14.59,9,20261520.0,136.0,13.0,3.523996,1.11255127168517,0.0957258846492443,53.45191,7.281007,0.62784678,48.18604
train,01100600,"SHAWSHEEN RIVER NEAR WILMINGTON, MA",MA,01,42.5681488,-71.2147792,96.4215,timeseries,Data/CAMELSH/timeseries/01100600.nc,Hourly2/01100600_hourly.nc,91666,96432,0.9505765720922515,25125,26304,0.9551779197080292,23948,26304,0.9104318734793188,3.94,8,20261520.0,136.0,13.0,2.643687,1.16611610290095,0.0850865080961761,55.95981,7.661665,0.20914736099999998,56.41058
train,01105933,"PASKAMANSET RIVER NEAR SOUTH DARTMOUTH, MA",MA,01,41.585382,-70.990317,68.0985,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01105933.nc,Hourly2/01105933_hourly.nc,92869,96432,0.9630516840882695,25445,26304,0.9673433698296837,25245,26304,0.9597399635036497,4.09,10,20261520.0,136.0,13.0,1.626193,1.12356291941245,0.0594970244521735,53.65654,4.727742,0.41597833,56.66298
train,01121000,"MOUNT HOPE RIVER NEAR WARRENVILLE, CT.",CT,01,41.84370889,-72.1689661,70.25372,timeseries,Data/CAMELSH/timeseries/01121000.nc,Hourly2/01121000_hourly.nc,82337,96432,0.8538348266135722,24196,26304,0.919860097323601,22867,26304,0.8693354622871047,4.73,8,20261520.0,136.0,13.0,6.037301,1.08132534116089,0.092349586919708,53.89714,4.147134,0.7508102200000001,49.19473
train,01124000,"QUINEBAUG RIVER AT QUINEBAUG, CT.",CT,01,42.02231889,-71.95562889,392.0004,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01124000.nc,Hourly2/01124000_hourly.nc,85737,96432,0.8890928322548531,24334,26304,0.9251064476885644,23197,26304,0.8818810827250608,3.11,9,20261520.0,136.0,13.0,6.74521,1.06656925734387,0.0908384001817123,52.85704,3.660662,0.6903607599999999,52.93047
train,01160350,"ASHUELOT RIVER AT WEST SWANZEY, NH",NH,01,42.871193,-72.327864,818.0181,timeseries,Data/CAMELSH/timeseries/01160350.nc,Hourly2/01160350_hourly.nc,88482,96432,0.9175584868093579,23849,26304,0.9066681873479319,22983,26304,0.8737454379562044,11.25,10,20261520.0,136.0,13.0,9.604571,1.03935746202609,0.152897469021119,53.15253,4.133275,0.821739,44.9105
train,01161000,"ASHUELOT RIVER AT HINSDALE, NH",NH,01,42.7859158,-72.4861997,1089.694,timeseries,Data/CAMELSH/timeseries/01161000.nc,Hourly2/01161000_hourly.nc,80958,96432,0.8395345943255351,23353,26304,0.8878117396593674,22179,26304,0.8431797445255474,3.8,10,20261520.0,136.0,13.0,9.790375,1.04267984883736,0.147587462239448,53.08913,4.224917,0.8303659,45.48894
train,01166500,"MILLERS RIVER AT ERVING, MA",MA,01,42.5975861,-72.4381422,965.4553,timeseries,Data/CAMELSH/timeseries/01166500.nc,Hourly2/01166500_hourly.nc,85504,96432,0.8866766218682595,23686,26304,0.9004714111922141,22274,26304,0.8467913625304136,2.9,10,20261520.0,136.0,13.0,6.265597,1.04145199096311,0.12907186339388,55.59723,5.043206,0.7356385,48.55278
train,01184100,"STONY BROOK NEAR WEST SUFFIELD, CT.",CT,01,41.9606522,-72.7103706,24.64571,timeseries,Data/CAMELSH/timeseries/01184100.nc,Hourly2/01184100_hourly.nc,85910,96432,0.8908868425418948,24843,26304,0.9444571167883211,23476,26304,0.8924878345498783,9.24,7,20261520.0,136.0,13.0,4.604953,1.08029685506709,0.0643671080606332,56.32278,5.598965,0.470478703,48.9132
train,01325000,SACANDAGA RIVER AT STEWARTS BRIDGE NR HADLEY NY,NY,02,43.31146005,-73.86734559,2776.659,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01325000.nc,Hourly2/01325000_hourly.nc,95148,96432,0.9866849178695869,26278,26304,0.9990115571776156,26227,26304,0.9970726885644768,0.12,10,20261521.0,276.0,26.0,11.85895,0.917977331726321,0.214120250933565,45.61367,3.067015,0.7903453,46.69113
train,01349810,WEST KILL NEAR WEST KILL NY,NY,02,42.230365,-74.392926,73.656,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01349810.nc,Hourly2/01349810_hourly.nc,82281,96432,0.853254106520657,24211,26304,0.9204303527980535,22600,26304,0.8591849148418491,13.69,8,20261521.0,276.0,26.0,26.67839,0.880150862915347,0.188003365061983,38.0243,1.411317,0.95640273,43.17808
train,01389500,PASSAIC RIVER AT LITTLE FALLS NJ,NJ,02,40.8847222,-74.2261111,1981.95,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01389500.nc,Hourly2/01389500_hourly.nc,95600,96432,0.9913721586195454,26063,26304,0.990837895377129,26061,26304,0.9907618613138686,0.12,10,20261521.0,276.0,26.0,7.418144,1.14034485176262,0.0606885142483863,48.63212,3.356264,0.49238633299999995,43.9323
train,01396190,South Branch Raritan River at Four Bridges NJ,NJ,02,40.806111,-74.740556,79.9956,timeseries,Data/CAMELSH/timeseries/01396190.nc,Hourly2/01396190_hourly.nc,93563,96432,0.9702484652397544,15050,26304,0.5721563260340633,0,26304,0.0,3.35,9,20261521.0,276.0,26.0,6.12183,1.0724669372074,0.0713717230549478,52.51645,3.97164,0.4597340399,57.97655
train,01491500,"TUCKAHOE CREEK NEAR RUTHSBURG, MD",MD,02,38.966806,-75.943056,223.0254,timeseries,Data/CAMELSH/timeseries/01491500.nc,Hourly2/01491500_hourly.nc,87810,96432,0.9105898456943753,25534,26304,0.9707268856447688,25224,26304,0.958941605839416,0.94,9,20261521.0,276.0,26.0,0.1075288,1.41996290665675,0.0310896296377219,60.0,4.433796,0.133031467,53.95818
train,01533400,"Susquehanna River at Meshoppen, PA",PA,02,41.60729826,-76.05020313,22604.17,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01533400.nc,Hourly2/01533400_hourly.nc,79360,96432,0.822963331674133,25070,26304,0.9530869829683698,23245,26304,0.883705900243309,5.88,9,20261521.0,276.0,26.0,10.72814,1.19308462736357,0.141089068117511,49.47029,1.90045,0.58477732,41.01992
train,01541303,"West Branch Susquehanna River at Hyde, PA",PA,02,41.00450158,-78.45668863,1242.98,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01541303.nc,Hourly2/01541303_hourly.nc,78255,96432,0.8115044798407167,24923,26304,0.9474984793187348,22943,26304,0.8722247566909975,6.85,10,20261521.0,276.0,26.0,10.64152,1.20805273460429,0.108061764942712,44.19118,2.992581,0.7274896200000001,42.03122
train,01560000,"Dunning Creek at Belden, PA",PA,02,40.07174679,-78.49251725,444.6405,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01560000.nc,Hourly2/01560000_hourly.nc,88567,96432,0.91843993695039,25144,26304,0.9559002433090025,23253,26304,0.8840100364963503,2.66,10,20261521.0,276.0,26.0,12.48708,1.41951682037652,0.103283473343865,39.90523,3.3689,0.652900037,41.01278
train,01565000,"Kishacoquillas Creek at Reedsville, PA",PA,02,40.65479256,-77.58304992,421.7841,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01565000.nc,Hourly2/01565000_hourly.nc,78921,96432,0.8184109009457442,26040,26304,0.989963503649635,25355,26304,0.9639218369829684,0.59,10,20261521.0,276.0,26.0,14.65936,1.29565143065018,0.0890208223455743,51.8519,4.887308,0.62244663,54.79365
train,01569800,"Letort Spring Run near Carlisle, PA",PA,02,40.23481018,-77.13942443,59.5728,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01569800.nc,Hourly2/01569800_hourly.nc,83678,96432,0.8677409988385598,0,26304,0.0,0,26304,0.0,0.37,7,20261521.0,276.0,26.0,1.640397,1.31089717757001,0.069546917335693,69.29819,1.382331,0.08599226099999999,54.82956
train,01581960,"BEETREE RUN AT BENTLEY SPRINGS, MD",MD,02,39.673083,-76.675194,25.4979,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01581960.nc,Hourly2/01581960_hourly.nc,88403,96432,0.916739256678281,24896,26304,0.9464720194647201,23845,26304,0.9065161192214112,6.1,10,20261521.0,276.0,26.0,6.300707,1.31797779918208,0.072879842429638,58.52736,1.743019,0.38784375,63.54375
train,01589100,"EAST BRANCH HERBERT RUN AT ARBUTUS, MD",MD,02,39.24,-76.69219444,6.426,timeseries,Data/CAMELSH/timeseries/01589100.nc,Hourly2/01589100_hourly.nc,84864,96432,0.8800398208063713,25704,26304,0.9771897810218978,25392,26304,0.9653284671532847,5.05,10,20261521.0,276.0,26.0,3.502326,1.38502524465204,0.0530600666321792,55.4822,2.259235,0.081792715,44.13908
train,01597500,"SAVAGE RIV BL SAVAGE RIV DAM NEAR BLOOMINGTON, MD",MD,02,39.50275,-79.12397222,276.0048,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01597500.nc,Hourly2/01597500_hourly.nc,96096,96432,0.9965156794425087,26296,26304,0.9996958637469586,25645,26304,0.9749467761557178,0.06,10,20261521.0,276.0,26.0,18.94096,1.33880850171758,0.120072747427816,39.51947,6.546845,0.8529602,40.69623
train,01598500,"NORTH BRANCH POTOMAC RIVER AT LUKE, MD",MD,02,39.47919444,-79.065,1049.92,timeseries_nonobs,Data/CAMELSH/timeseries_nonobs/01598500.nc,Hourly2/01598500_hourly.nc,95886,96432,0.9943379790940766,26193,26304,0.995780109489051,25928,26304,0.985705596107056,0.07,9,20261521.0,276.0,26.0,13.9554,1.27341116401467,0.119941022198068,38.64442,5.400344,0.8052475099999999,40.54356
train,01603000,"NORTH BRANCH POTOMAC RIVER NEAR CUMBERLAND, MD",MD,02,39.62180556,-78.77341667,2267.205,timeseries,Data/CAMELSH/timeseries/01603000.nc,Hourly2/01603000_hourly.nc,93789,96432,0.9725920856147336,25799,26304,0.980801399026764,25126,26304,0.9552159367396593,1.05,10,20261521.0,276.0,26.0,16.05322,1.36092083134559,0.101605468467877,38.86525,5.062017,0.8039277199999999,40.05365
train,01620500,"NORTH RIVER NEAR STOKESVILLE, VA",VA,02,38.33762566,-79.24003625,44.74026,timeseries,Data/CAMELSH/timeseries/01620500.nc,Hourly2/01620500_hourly.nc,86980,96432,0.9019827443172391,25732,26304,0.9782542579075426,24986,26304,0.9498935523114356,7.21,10,20261521.0,276.0,26.0,25.78824,1.59653848022249,0.0899271841742679,41.27795,5.12541,0.9768498999999999,45.3368
