gauge_id,pilot_split,original_split,camelsh_huc02,state,gauge_name,drain_sqkm_attr,obs_years_usable,first_obs_year_usable,last_obs_year_usable,actual_valid_target_count,sampling_seed,stratum_source_count,stratum_selected_count,area,slope,aridity,snow_fraction,soil_depth,permeability,forest_fraction,baseflow_index
01046500,train,train,01,ME,"Kennebec River at Bingham, Maine",7056.902,30,1991,2024,94751,20261519,112,6,7056.902,8.30638,0.962815926966819,0.235907035248981,47.15192,2.796313,0.6582956,46.38742
01089500,train,train,01,NH,"SUNCOOK RIVER AT NORTH CHICHESTER, NH",400.7988,13,2009,2024,21574,20261519,112,6,400.7988,6.830968,1.05733760729715,0.129222053669821,51.70303,4.368893,0.7864044,57.21122
01096000,train,train,01,MA,"SQUANNACOOK RIVER NEAR WEST GROTON, MA",173.1357,34,1991,2024,91811,20261519,112,6,173.1357,5.784873,1.07787286952528,0.101357758649294,53.66101,5.170811,0.76903204,49.10186
01100627,train,train,01,MA,"SHAWSHEEN RIVER AT BALMORAL STREET AT ANDOVER, MA",173.1114,16,2007,2024,34687,20261519,112,6,173.1114,2.339778,1.16843382599753,0.0867920743577839,56.45901,9.082905,0.204402532,55.51249
01103455,train,train,01,MA,"TROUT BROOK AT DOVER, MA",9.7065,10,2008,2024,19478,20261519,112,6,9.7065,4.372165,1.11633126600982,0.0770150826220403,47.95859,7.320652,0.6724154400000001,57.97061
01117468,train,train,01,RI,"BEAVER RIVER NEAR USQUEPAUG, RI",25.3413,34,1991,2024,94739,20261519,112,6,25.3413,4.347124,1.11734984329086,0.0515671662358887,55.95877,5.569793,0.73068869,66.49068
01493500,train,train,02,MD,"MORGAN CREEK NEAR KENNEDYVILLE, MD",33.02334,30,1991,2024,80179,20261520,182,9,33.02334,0.453418,1.40202502149709,0.0341717570939987,60.0,3.506029,0.0121046938,49.18097
01553700,train,train,02,PA,"Chillisquaque Creek at Washingtonville, PA",133.6806,34,1991,2024,93308,20261520,182,9,133.6806,6.86729,1.23397952286596,0.0728656283957429,45.2681,2.247688,0.29500314,40.65667
01629500,train,train,02,VA,"S F SHENANDOAH RIVER NEAR LURAY, VA",3551.746,32,1991,2024,91311,20261520,182,9,3551.746,12.23414,1.64183473259824,0.0566868608903137,45.34105,3.290338,0.53595748,47.72437
01632082,train,train,02,VA,"LINVILLE CREEK AT BROADWAY, VA",115.9146,33,1991,2024,90955,20261520,182,9,115.9146,6.47732,1.73311984238576,0.0468757177742748,42.65724,0.8584896,0.22227744,44.54887
01633000,train,train,02,VA,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA",1319.035,34,1991,2024,93930,20261520,182,9,1319.035,13.5832,1.68843914389271,0.0645763581083765,40.00315,3.153847,0.59289609,43.88864
01650800,train,train,02,MD,"SLIGO CREEK NEAR TAKOMA PARK, MD",16.7013,16,2009,2024,18431,20261520,182,9,16.7013,3.239209,1.53753137767706,0.0456058102197027,59.30756,2.039072,0.124158008,45.25397
01660400,train,train,02,VA,"AQUIA CREEK NEAR GARRISONVILLE, VA",90.6984,25,1991,2024,82919,20261520,182,9,90.6984,3.006392,1.5855570879161,0.0341788804928181,48.73127,2.143328,0.652258517,30.7815
01669000,train,train,02,VA,"PISCATAWAY CREEK NEAR TAPPAHANNOCK, VA",71.84071,31,1991,2024,87884,20261520,182,9,71.84071,2.886025,1.51843629316727,0.0233225170260023,60.0,5.1665,0.5873244400000001,51.71715
01671100,train,train,02,VA,"LITTLE RIVER NEAR DOSWELL, VA",277.6545,32,1991,2024,86967,20261520,182,9,277.6545,2.675034,1.56385859569641,0.0371296985090382,56.85059,2.554023,0.62340322,41.75473
02070000,train,train,03,VA,"NORTH MAYO RIVER NEAR SPENCER, VA",270.6084,33,1991,2024,91698,20261521,171,8,270.6084,8.000258,1.32933154030268,0.0256164194460916,55.72157,1.811454,0.74016217,52.79497
02075045,train,train,03,VA,"DAN RIVER AT STP NEAR DANVILLE, VA",5483.278,29,1996,2024,92579,20261521,171,8,5483.278,7.567957,1.38522603519139,0.0283020889481976,55.44209,1.877164,0.6723391700000001,51.87725
